size,device,run,t_total
256,CPU,1,20.318816
256,CPU,2,20.315890
256,CPU,3,20.313291
256,CPU,4,20.318904
256,CPU,5,20.339615
256,GPU,1,0.017253
256,GPU,2,0.016958
256,GPU,3,0.016899
256,GPU,4,0.016946
256,GPU,5,0.016891
512,CPU,1,81.283954
512,CPU,2,81.366028
512,CPU,3,81.311343
512,CPU,4,81.274303
512,CPU,5,81.289600
512,GPU,1,0.051755
512,GPU,2,0.052144
512,GPU,3,0.052281
512,GPU,4,0.051614
512,GPU,5,0.051991
1024,CPU,1,325.092595
1024,CPU,2,325.070859
1024,CPU,3,325.187685
1024,CPU,4,325.026012
1024,CPU,5,325.042112
1024,GPU,1,0.168926
1024,GPU,2,0.150053
1024,GPU,3,0.151209
1024,GPU,4,0.151821
1024,GPU,5,0.150183
2048,CPU,1,1300.776832
2048,CPU,2,1300.685047
2048,CPU,3,1301.104155
2048,CPU,4,1301.078538
2048,CPU,5,1300.689239
2048,GPU,1,0.634702
2048,GPU,2,0.594322
2048,GPU,3,0.596759
2048,GPU,4,0.599406
2048,GPU,5,0.597763
4096,CPU,1,5210.297180
4096,GPU,1,2.416721
